,상품명,가격정보
0,오리 영양도시락,"6,900"
1,통살 오징어튀김,"2,900"
2,열무 감초고추장 비빔밥,"4,500"
3,열무 두부강된장 비빔밥,"4,900"
4,[8월할인메뉴] 토네이도 소세지,"1,000"
5,[8월할인메뉴] 토핑-계란후라이,800
6,[8월할인메뉴] 치킨2조각,"1,300"
7,[8월할인메뉴] 토핑-스팸,800
8,[8월할인메뉴] 빅치킨마요,"3,600"
9,[8월할인메뉴] 치킨마요,"3,000"
10,[8월할인메뉴] 카츠카츠 도시락,"3,900"
11,[8월할인메뉴] 핫 치즈 닭갈비 덮밥,"4,900"
12,[8월할인메뉴] 오리지널 치즈 닭갈비 덮밥,"4,900"
13,[8월할인메뉴] 돈까스도련님 고기고기,"5,500"
14,[8월행사메뉴] 숯불직화구이 덮밥,"4,900"
15,[8월할인메뉴] 진달래,"6,700"
16,[8월할인메뉴] 통현미 닭강정(소),"2,900"
17,[8월할인메뉴] 스팸 김치볶음밥,"3,900"
18,해바라기,"10,000"
19,매화,"10,500"
20,진달래,"7,800"
21,개나리,"8,500"
22,돈까스도련님고기고기,"6,500"
23,탕수육도련님고기고기,"6,000"
24,새치 고기고기,"7,000"
25,돈치 고기고기,"6,000"
26,카츠카츠 도시락,"4,800"
27,숯불직화구이,"6,600"
28,소불고기,"5,500"
29,메가치킨제육,"7,500"
30,칠리 찹쌀탕수육도련님,"4,400"
31,동백,"6,000"
32,치킨제육,"4,900"
33,돈까스도련님,"4,800"
34,제육볶음,"4,500"
35,돈치스팸 도시락,"5,000"
36,제육 김치찌개 정식,"8,600"
37,제육 김치 부대찌개 정식,"9,000"
38,돈치스팸 김치 부대찌개 정식,"9,000"
39,빅치킨마요 김치 부대찌개 정식,"8,000"
40,치킨마요 김치 부대찌개 정식,"7,400"
41,빅치킨마요 김치찌개 정식,"7,500"
42,치킨마요 김치찌개 정식,"6,900"
43,새후마요,"4,500"
44,메가스팸마요,"5,800"
45,스팸마요,"3,900"
46,메가치킨마요,"6,000"
47,왕치킨마요,"5,000"
48,빅치킨마요,"4,300"
49,치킨마요,"3,700"
50,참치마요,"3,500"
51,돈치마요,"4,000"
52,돈까스 카레,"4,700"
53,스팸 김치볶음밥,"4,700"
54,김치볶음밥,"3,900"
55,스팸철판볶음밥,"4,700"
56,소불고기 철판볶음밥,"4,900"
57,나시고랭,"6,200"
58,묵은지 김치찌개,"4,900"
59,김치 부대찌개,"6,000"
60,핫 치즈 닭갈비덮밥,"5,900"
61,오리지널 치즈 닭갈비덮밥,"5,900"
62,숯불직화구이 덮밥,"6,000"
63,마파두부 덮밥,"5,000"
64,왕카레돈까스덮밥,"6,000"
65,새우돈까스 덮밥,"4,200"
66,돈까스 덮밥,"4,100"
67,아보카도 훈제 닭가슴살 명란 비빔밥,"6,500"
68,아보카도 소불고기 명란 비빔밥,"6,500"
69,소불고기 감초고추장 비빔밥,"5,400"
70,시골제육 두부강된장 비빔밥,"5,200"
71,참치야채 감초고추장,"3,500"
72,튼튼도시락,"5,000"
